,City,Cloudiness,Country,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Iqaluit,75,CA,86,63.75,-68.52,276.15,5.1
1,Ginda,0,IN,81,30.69,78.49,283.177,1.76
2,Bembibre,64,ES,81,42.62,-6.42,285.93,2.1
3,Aykhal,75,RU,100,65.95,111.51,267.15,2
4,Prachuap Khiri Khan,96,TH,98,11.81,99.79,295.177,0.91
5,Kununurra,0,AU,82,-15.77,128.74,290.15,1
6,Balagansk,0,RU,73,54.01,103.05,272.727,1.59
7,Saint Anthony,90,US,49,43.97,-111.68,282.59,3.6
9,Chuy,100,UY,88,-33.69,-53.46,285.797,10.68
10,Atuona,4,PF,73,-9.8,-139.03,299.517,4.37
11,Pringsewu,78,ID,97,-5.36,104.98,294.757,0.89
12,Kupang,0,ID,70,-10.16,123.6,297.567,1.16
13,Lagoa,0,PT,68,37.14,-8.45,292.15,6.2
15,Pahrump,1,US,8,36.21,-115.98,299.82,4.1
17,Kapaa,75,US,66,22.08,-159.32,302.15,3.6
19,Landshut,20,DE,87,48.54,12.15,282.04,4.6
20,Nemuro,66,JP,92,43.32,145.57,290.087,6.31
21,Amahai,67,ID,87,-3.31,129,297.907,2.82
22,Provideniya,75,RU,86,64.42,-173.23,278.15,11
23,Khokhlovo,0,RU,71,50.71,36.69,285.15,2
25,Hilo,90,US,78,19.71,-155.08,300.37,3.1
27,Jumla,76,NP,94,29.28,82.18,281.707,0.54
28,Tuktoyaktuk,75,CA,86,69.44,-133.03,277.15,4.6
29,Geraldton,75,CA,64,49.72,-86.95,276.15,4.6
30,Kamenka,99,MD,70,48.03,28.7,288.71,1.79
31,Humberto de Campos,10,BR,71,-2.6,-43.46,299.547,3.76
32,Ponazyrevo,100,RU,89,58.36,46.31,283.887,6.06
33,Te Anau,89,NZ,76,-45.41,167.72,276.617,0.55
34,Iracoubo,21,GF,68,5.48,-53.21,300.987,4.1
36,Te Anau,89,NZ,76,-45.41,167.72,276.617,0.55
37,Nizhnyaya Salda,100,RU,83,58.07,60.71,282.167,5.36
38,Avarua,100,CK,61,-21.21,-159.78,298.15,4.1
39,Husavik,31,CA,74,50.56,-96.99,279.82,3.04
40,Luanda,75,AO,88,-8.83,13.24,297.15,5.7
41,Saint George,20,GR,93,39.45,22.34,291.15,1.31
42,Raudeberg,99,NO,71,61.99,5.14,284.15,5.1
43,Shitanjing,100,CN,56,39.23,106.34,289.26,1.34
44,Abakaliki,20,NG,94,6.32,8.11,298.15,1
45,Voznesenskaya,0,RU,72,44.55,41.03,286.907,2.83
46,Atar,0,MR,8,20.52,-13.05,310.687,4.45
47,Victoria,75,BN,88,5.28,115.24,299.15,1.5
48,Bacolod,100,PH,89,10.68,122.95,298.697,3.14
49,Vila Velha,20,BR,69,-3.71,-38.6,300.15,6.7
50,Rundu,0,NA,11,-17.91,19.77,291.857,3.64
51,Cascais,0,PT,77,38.7,-9.42,290.93,4.1
52,Sao Gabriel da Cachoeira,100,BR,54,-0.13,-67.09,305.567,0.86
